year,variable,value
1951,mean anchovy larval abundance spring lines 80 and 90,4.019411765
1952,mean anchovy larval abundance spring lines 80 and 91,7.511176471
1953,mean anchovy larval abundance spring lines 80 and 92,10.40888889
1954,mean anchovy larval abundance spring lines 80 and 93,1.403571429
1955,mean anchovy larval abundance spring lines 80 and 94,43.28923077
1956,mean anchovy larval abundance spring lines 80 and 95,96.54857143
1957,mean anchovy larval abundance spring lines 80 and 96,391.4864286
1958,mean anchovy larval abundance spring lines 80 and 97,188.3029412
1959,mean anchovy larval abundance spring lines 80 and 98,659.91
1960,mean anchovy larval abundance spring lines 80 and 99,333.4976923
1961,mean anchovy larval abundance spring lines 80 and 100,368.903125
1962,mean anchovy larval abundance spring lines 80 and 101,556.796
1963,mean anchovy larval abundance spring lines 80 and 102,789.2147059
1964,mean anchovy larval abundance spring lines 80 and 103,615.0757143
1965,mean anchovy larval abundance spring lines 80 and 104,1217.349286
1966,mean anchovy larval abundance spring lines 80 and 105,855.0421429
1969,mean anchovy larval abundance spring lines 80 and 106,282.6486667
1975,mean anchovy larval abundance spring lines 80 and 107,12.728
1978,mean anchovy larval abundance spring lines 80 and 108,581.1652168
1981,mean anchovy larval abundance spring lines 80 and 109,899.8908094
1983,mean anchovy larval abundance spring lines 80 and 110,367.3350697
1984,mean anchovy larval abundance spring lines 80 and 111,282.1192417
1985,mean anchovy larval abundance spring lines 80 and 112,18.37301872
1986,mean anchovy larval abundance spring lines 80 and 113,406.560664
1987,mean anchovy larval abundance spring lines 80 and 114,563.6295248
1988,mean anchovy larval abundance spring lines 80 and 115,170.7845327
1989,mean anchovy larval abundance spring lines 80 and 116,28.80233633
1990,mean anchovy larval abundance spring lines 80 and 117,940.4182353
1991,mean anchovy larval abundance spring lines 80 and 118,531.2798728
1992,mean anchovy larval abundance spring lines 80 and 119,173.1555
1993,mean anchovy larval abundance spring lines 80 and 120,98.237
1994,mean anchovy larval abundance spring lines 80 and 121,739.3239838
1995,mean anchovy larval abundance spring lines 80 and 122,58.50277189
1996,mean anchovy larval abundance spring lines 80 and 123,27.37697903
1997,mean anchovy larval abundance spring lines 80 and 124,7.530307184
1998,mean anchovy larval abundance spring lines 80 and 125,140.5148747
1999,mean anchovy larval abundance spring lines 80 and 126,229.0039526
2000,mean anchovy larval abundance spring lines 80 and 127,152.6635024
2001,mean anchovy larval abundance spring lines 80 and 128,107.143323
2002,mean anchovy larval abundance spring lines 80 and 129,65.76081625
2003,mean anchovy larval abundance spring lines 80 and 130,3.433327777
2004,mean anchovy larval abundance spring lines 80 and 131,109.0431469
2005,mean anchovy larval abundance spring lines 80 and 132,975.6902161
2006,mean anchovy larval abundance spring lines 80 and 133,110.6620465
2007,mean anchovy larval abundance spring lines 80 and 134,12.74751658
2008,mean anchovy larval abundance spring lines 80 and 135,6.705859423
2009,mean anchovy larval abundance spring lines 80 and 136,6.076084567
2010,mean anchovy larval abundance spring lines 80 and 137,0
2011,mean anchovy larval abundance spring lines 80 and 138,0
2012,mean anchovy larval abundance spring lines 80 and 139,0
2013,mean anchovy larval abundance spring lines 80 and 140,0
2014,mean anchovy larval abundance spring lines 80 and 141,31.62603854
2015,mean anchovy larval abundance spring lines 80 and 142,1.959545455
2016,mean anchovy larval abundance spring lines 80 and 143,299.5660605
2017,mean anchovy larval abundance spring lines 80 and 144,224.7824594
2018,mean anchovy larval abundance spring lines 80 and 145,1047.089096
2019,mean anchovy larval abundance spring lines 80 and 146,1797.65501
2021,mean anchovy larval abundance spring lines 80 and 147,620.1714138
2022,mean anchovy larval abundance spring lines 80 and 148,1724.072069
2004,ln mean yoy anchovy from southern CA,4.957678567
2005,ln mean yoy anchovy from southern CA,7.179090176
2006,ln mean yoy anchovy from southern CA,5.534941079
2007,ln mean yoy anchovy from southern CA,5.76059895
2008,ln mean yoy anchovy from southern CA,1.791759469
2009,ln mean yoy anchovy from southern CA,0.510825624
2010,ln mean yoy anchovy from southern CA,0.594707108
2012,ln mean yoy anchovy from southern CA,1.265666373
2013,ln mean yoy anchovy from southern CA,0.087011377
2014,ln mean yoy anchovy from southern CA,1.779783278
2015,ln mean yoy anchovy from southern CA,4.833102254
2016,ln mean yoy anchovy from southern CA,6.847272888
2017,ln mean yoy anchovy from southern CA,8.500277593
2018,ln mean yoy anchovy from southern CA,8.889094384
2019,ln mean yoy anchovy from southern CA,7.405032392
2021,ln mean yoy anchovy from southern CA,6.762729507
2022,ln mean yoy anchovy from southern CA,6.463768161
